type,time,latitude,longitude,altitude (ft),speed (mph),distance (mi),distance_interval (ft),name,desc
T,2020-08-30 05:15:48.994,40.010272030,-75.257309010,302.3,3.7,0.497,6.03,,
T,2020-08-30 05:15:49.994,40.010267367,-75.257321855,302.2,3.2,0.498,3.98,,
T,2020-08-30 05:15:50.994,40.010276684,-75.257343674,302.3,3.4,0.499,6.99,,
T,2020-08-30 05:15:51.994,40.010285767,-75.257363725,302.2,4.6,0.500,6.52,,
T,2020-08-30 05:15:52.994,40.010293228,-75.257374031,302.1,3.5,0.501,3.97,,
T,2020-08-30 05:15:53.994,40.010304513,-75.257377729,302.0,2.7,0.502,4.24,,
T,2020-08-30 05:15:54.994,40.010318405,-75.257394532,301.9,3.7,0.503,6.91,,
T,2020-08-30 05:15:55.994,40.010327867,-75.257408666,301.7,4.1,0.504,5.25,,
T,2020-08-30 05:15:56.994,40.010333165,-75.257413600,301.6,2.6,0.505,2.37,,
T,2020-08-30 05:15:57.994,40.010338978,-75.257423520,301.5,2.0,0.505,3.49,,
T,2020-08-30 05:15:58.994,40.010347200,-75.257437260,301.5,2.9,0.506,4.88,,
T,2020-08-30 05:15:59.994,40.010352030,-75.257458351,301.4,3.7,0.507,6.16,,
T,2020-08-30 05:16:00.994,40.010361229,-75.257475947,301.3,4.1,0.509,5.96,,
T,2020-08-30 05:16:05.994,40.010388894,-75.257554497,301.0,3.4,0.513,24.20,,
T,2020-08-30 05:16:06.994,40.010394294,-75.257572106,301.1,3.3,0.514,5.31,,
T,2020-08-30 05:16:07.994,40.010396053,-75.257590053,301.1,3.5,0.515,5.07,,
T,2020-08-30 05:16:08.994,40.010401450,-75.257604770,301.2,3.2,0.516,4.57,,
T,2020-08-30 05:16:09.994,40.010403508,-75.257616657,301.3,2.7,0.517,3.41,,
T,2020-08-30 05:16:10.994,40.010402497,-75.257634111,301.3,2.8,0.518,4.90,,
T,2020-08-30 05:16:11.994,40.010407912,-75.257645141,301.4,2.8,0.518,3.67,,
T,2020-08-30 05:16:12.994,40.010416373,-75.257657534,301.4,2.8,0.519,4.64,,
T,2020-08-30 05:16:17.994,40.010463858,-75.257750702,301.8,4.1,0.525,31.31,,
T,2020-08-30 05:16:18.994,40.010465990,-75.257765094,301.9,4.0,0.526,4.11,,
T,2020-08-30 05:16:19.994,40.010475666,-75.257783095,302.1,3.4,0.527,6.15,,
T,2020-08-30 05:16:20.994,40.010487835,-75.257800168,302.2,4.3,0.528,6.52,,
T,2020-08-30 05:16:21.994,40.010499963,-75.257810872,302.2,4.0,0.529,5.34,,
T,2020-08-30 05:16:22.994,40.010515735,-75.257830983,302.2,4.5,0.531,8.05,,
T,2020-08-30 05:16:23.994,40.010527049,-75.257849139,302.3,5.0,0.532,6.55,,
T,2020-08-30 05:16:24.993,40.010529630,-75.257863701,302.3,3.6,0.533,4.19,,
T,2020-08-30 05:16:25.993,40.010525449,-75.257882581,302.3,3.2,0.534,5.50,,
T,2020-08-30 05:16:26.993,40.010532449,-75.257902221,302.3,3.7,0.535,6.06,,
T,2020-08-30 05:16:27.993,40.010536641,-75.257916550,302.3,3.5,0.536,4.29,,
T,2020-08-30 05:16:28.993,40.010542956,-75.257934286,302.3,3.3,0.537,5.48,,
T,2020-08-30 05:16:34.993,40.010578849,-75.258003764,302.1,2.8,0.541,23.45,,
T,2020-08-30 05:16:35.993,40.010580719,-75.258013417,302.1,2.5,0.542,2.79,,
T,2020-08-30 05:16:36.993,40.010582623,-75.258029989,302.1,2.5,0.543,4.69,,
T,2020-08-30 05:16:37.993,40.010583346,-75.258044180,302.1,2.9,0.543,3.98,,
T,2020-08-30 05:16:38.993,40.010584613,-75.258060071,302.2,2.9,0.544,4.48,,
T,2020-08-30 05:16:39.993,40.010592365,-75.258080303,302.2,3.6,0.546,6.33,,
T,2020-08-30 05:16:40.993,40.010603399,-75.258104842,302.4,4.9,0.547,7.96,,
T,2020-08-30 05:16:41.993,40.010608523,-75.258117922,302.6,4.1,0.548,4.11,,
T,2020-08-30 05:16:42.993,40.010617083,-75.258139598,302.7,3.7,0.549,6.83,,
T,2020-08-30 05:16:43.993,40.010623178,-75.258176812,302.9,5.9,0.551,10.66,,
T,2020-08-30 05:16:44.993,40.010631909,-75.258191351,303.2,5.3,0.552,5.17,,
T,2020-08-30 05:16:45.993,40.010627375,-75.258211098,303.3,3.3,0.553,5.77,,
T,2020-08-30 05:16:46.993,40.010629362,-75.258234198,303.5,4.1,0.554,6.51,,
T,2020-08-30 05:16:47.993,40.010638799,-75.258250789,303.7,4.0,0.556,5.78,,
T,2020-08-30 05:16:48.993,40.010640982,-75.258276785,303.8,4.3,0.557,7.33,,
T,2020-08-30 05:16:49.993,40.010644097,-75.258299565,304.0,4.7,0.558,6.48,,
T,2020-08-30 05:16:50.993,40.010650269,-75.258312608,304.1,3.6,0.559,4.29,,
T,2020-08-30 05:16:51.993,40.010654554,-75.258334108,304.2,3.5,0.560,6.22,,
T,2020-08-30 05:16:52.993,40.010662306,-75.258355210,304.3,4.3,0.561,6.55,,
T,2020-08-30 05:16:53.993,40.010664456,-75.258376513,304.2,4.2,0.562,6.02,,
T,2020-08-30 05:16:54.993,40.010672470,-75.258395032,304.2,4.0,0.564,5.95,,
T,2020-08-30 05:16:55.993,40.010678859,-75.258413727,304.1,4.0,0.565,5.73,,
T,2020-08-30 05:16:56.993,40.010679963,-75.258431110,304.0,3.6,0.566,4.89,,
T,2020-08-30 05:16:57.993,40.010685517,-75.258439865,304.0,2.6,0.566,3.18,,
T,2020-08-30 05:16:58.993,40.010688452,-75.258453302,303.9,2.4,0.567,3.91,,
T,2020-08-30 05:16:59.993,40.010687734,-75.258468021,303.9,2.7,0.568,4.13,,
T,2020-08-30 05:17:00.993,40.010688648,-75.258488241,303.9,3.3,0.569,5.67,,
T,2020-08-30 05:17:01.993,40.010693435,-75.258505892,303.9,3.7,0.570,5.24,,
T,2020-08-30 05:17:02.993,40.010700960,-75.258525303,303.8,3.8,0.571,6.09,,
T,2020-08-30 05:17:03.993,40.010706400,-75.258549633,303.7,4.5,0.572,7.10,,
T,2020-08-30 05:17:04.993,40.010715609,-75.258566717,303.7,4.3,0.573,5.84,,
T,2020-08-30 05:17:05.993,40.010719160,-75.258577051,303.6,3.1,0.574,3.17,,
T,2020-08-30 05:17:13.995,40.010771658,-75.258696609,304.0,3.2,0.581,38.57,,
T,2020-08-30 05:17:14.995,40.010779321,-75.258710430,304.1,3.3,0.582,4.77,,
T,2020-08-30 05:17:15.996,40.010787129,-75.258719371,304.2,2.9,0.583,3.79,,
T,2020-08-30 05:17:16.996,40.010791823,-75.258722468,304.2,1.9,0.583,1.92,,
T,2020-08-30 05:17:17.996,40.010801703,-75.258736292,304.2,2.4,0.584,5.29,,
T,2020-08-30 05:17:18.996,40.010808252,-75.258752277,304.2,3.5,0.585,5.07,,
T,2020-08-30 05:17:19.997,40.010820038,-75.258766033,304.3,3.6,0.586,5.77,,
T,2020-08-30 05:17:20.997,40.010824851,-75.258785126,304.2,3.7,0.587,5.63,,
T,2020-08-30 05:17:21.997,40.010821852,-75.258799698,304.4,3.2,0.588,4.23,,
T,2020-08-30 05:17:22.997,40.010823207,-75.258821166,304.6,3.4,0.589,6.03,,
T,2020-08-30 05:17:23.997,40.010827430,-75.258839727,304.8,3.9,0.590,5.42,,
T,2020-08-30 05:17:24.997,40.010833937,-75.258852704,305.0,3.3,0.591,4.34,,
T,2020-08-30 05:17:25.998,40.010843518,-75.258873817,305.0,3.8,0.593,6.87,,
T,2020-08-30 05:17:26.998,40.010849996,-75.258890445,305.1,4.1,0.594,5.22,,
T,2020-08-30 05:17:27.998,40.010849330,-75.258902504,305.2,2.8,0.594,3.39,,
T,2020-08-30 05:17:28.998,40.010852030,-75.258915893,305.3,2.4,0.595,3.88,,
T,2020-08-30 05:17:29.998,40.010858714,-75.258927666,305.2,2.7,0.596,4.10,,
T,2020-08-30 05:17:30.998,40.010866808,-75.258942530,305.2,3.1,0.597,5.10,,
T,2020-08-30 05:17:31.998,40.010875552,-75.258960818,305.1,3.8,0.598,6.03,,
T,2020-08-30 05:17:32.998,40.010878683,-75.258981700,305.0,4.0,0.599,5.96,,
T,2020-08-30 05:17:33.998,40.010886970,-75.258995490,304.9,3.6,0.600,4.90,,
T,2020-08-30 05:17:34.998,40.010900667,-75.259004030,304.8,3.5,0.601,5.53,,
T,2020-08-30 05:17:35.999,40.010905526,-75.259010095,304.7,2.7,0.601,2.45,,
T,2020-08-30 05:17:36.999,40.010915418,-75.259027761,304.6,2.9,0.603,6.12,,
T,2020-08-30 05:17:37.999,40.010925553,-75.259047231,304.5,4.3,0.604,6.59,,
T,2020-08-30 05:17:38.999,40.010929683,-75.259066430,304.4,4.1,0.605,5.58,,
T,2020-08-30 05:17:39.999,40.010939839,-75.259075066,304.3,3.2,0.606,4.42,,
T,2020-08-30 05:17:40.999,40.010947514,-75.259096061,304.2,3.6,0.607,6.51,,
T,2020-08-30 05:17:41.999,40.010945674,-75.259107792,304.1,3.2,0.608,3.35,,
T,2020-08-30 05:17:42.999,40.010944904,-75.259116260,304.1,1.9,0.608,2.39,,
T,2020-08-30 05:17:43.999,40.010946508,-75.259123594,304.1,1.5,0.608,2.14,,
T,2020-08-30 05:17:44.999,40.010949195,-75.259140912,304.1,2.4,0.609,4.95,,
T,2020-08-30 05:17:45.999,40.010960318,-75.259166347,304.1,4.4,0.611,8.20,,
T,2020-08-30 05:17:46.999,40.010973342,-75.259184927,304.0,5.2,0.612,7.04,,
T,2020-08-30 05:17:47.999,40.010978900,-75.259196717,304.0,3.7,0.613,3.87,,
T,2020-08-30 05:17:48.999,40.010985554,-75.259209480,304.1,2.8,0.614,4.32,,
T,2020-08-30 05:17:49.999,40.010989734,-75.259222986,304.1,2.8,0.615,4.08,,
T,2020-08-30 05:17:50.999,40.010999560,-75.259244341,304.3,3.8,0.616,6.97,,
T,2020-08-30 05:17:51.999,40.010997692,-75.259256815,304.4,3.4,0.617,3.56,,
T,2020-08-30 05:17:52.999,40.011000556,-75.259275173,304.6,2.9,0.618,5.25,,
T,2020-08-30 05:17:53.999,40.011002782,-75.259293839,304.7,3.6,0.619,5.29,,
T,2020-08-30 05:17:54.999,40.011008040,-75.259311100,304.9,3.5,0.620,5.20,,
T,2020-08-30 05:17:55.999,40.011008745,-75.259323640,305.1,2.9,0.620,3.52,,
T,2020-08-30 05:17:56.999,40.011020460,-75.259339727,305.2,3.1,0.621,6.21,,
T,2020-08-30 05:17:57.999,40.011029067,-75.259362612,305.3,4.5,0.623,7.14,,
T,2020-08-30 05:17:58.999,40.011025722,-75.259365551,305.4,2.5,0.623,1.47,,
T,2020-08-30 05:17:59.999,40.011033373,-75.259390981,305.5,2.8,0.624,7.65,,
T,2020-08-30 05:18:00.999,40.011042766,-75.259408002,305.7,4.6,0.626,5.87,,
T,2020-08-30 05:18:01.999,40.011050225,-75.259425517,305.8,3.9,0.627,5.61,,
T,2020-08-30 05:18:02.999,40.011058353,-75.259443726,305.9,3.9,0.628,5.90,,
T,2020-08-30 05:18:03.999,40.011070530,-75.259466741,306.0,4.7,0.629,7.83,,
T,2020-08-30 05:18:04.999,40.011079659,-75.259486571,306.2,4.9,0.630,6.47,,
T,2020-08-30 05:18:05.999,40.011086063,-75.259504606,306.3,4.1,0.631,5.56,,
T,2020-08-30 05:18:06.999,40.011095716,-75.259519083,306.4,3.7,0.632,5.37,,
T,2020-08-30 05:18:07.999,40.011097168,-75.259536846,306.5,3.4,0.633,5.00,,
T,2020-08-30 05:18:08.999,40.011101710,-75.259554726,306.7,3.5,0.634,5.27,,
